trip_id,distance_km,avg_speed_kmh,passenger_count,max_passengers,ac_on,ambient_temp_c,traffic_level,energy_consumed_kwh
1,5.0,35,10,50,0,28,normal,6.2
2,5.0,35,25,50,0,28,normal,6.8
3,5.0,35,40,50,0,28,normal,7.3
4,5.0,35,50,50,0,28,normal,7.8
5,5.0,35,10,50,1,32,normal,8.5
6,5.0,35,25,50,1,32,normal,9.1
7,5.0,35,40,50,1,32,normal,9.8
8,5.0,35,50,50,1,32,normal,10.4
9,5.0,25,10,50,0,28,high,7.5
10,5.0,25,25,50,0,28,high,8.2
11,5.0,25,40,50,0,28,high,8.9
12,5.0,25,50,50,0,28,high,9.5
13,5.0,15,10,50,0,28,jam,9.2
14,5.0,15,25,50,0,28,jam,10.0
15,5.0,15,40,50,0,28,jam,10.9
16,5.0,15,50,50,0,28,jam,11.7
17,10.0,35,10,50,0,28,normal,12.3
18,10.0,35,25,50,0,28,normal,13.5
19,10.0,35,40,50,0,28,normal,14.6
20,10.0,35,50,50,0,28,normal,15.5
21,10.0,35,10,50,1,32,normal,16.8
22,10.0,35,25,50,1,32,normal,18.0
23,10.0,35,40,50,1,32,normal,19.4
24,10.0,35,50,50,1,32,normal,20.6
25,10.0,25,10,50,0,28,high,15.0
26,10.0,25,25,50,0,28,high,16.3
27,10.0,25,40,50,0,28,high,17.7
28,10.0,25,50,50,0,28,high,18.9
29,10.0,15,10,50,0,28,jam,18.3
30,10.0,15,25,50,0,28,jam,19.9
31,10.0,15,40,50,0,28,jam,21.6
32,10.0,15,50,50,0,28,jam,23.1
33,20.0,35,10,50,0,28,normal,24.5
34,20.0,35,25,50,0,28,normal,26.9
35,20.0,35,40,50,0,28,normal,29.1
36,20.0,35,50,50,0,28,normal,31.0
37,20.0,35,10,50,1,32,normal,33.5
38,20.0,35,25,50,1,32,normal,36.0
39,20.0,35,40,50,1,32,normal,38.7
40,20.0,35,50,50,1,32,normal,41.2
41,20.0,25,10,50,0,28,high,29.8
42,20.0,25,25,50,0,28,high,32.5
43,20.0,25,40,50,0,28,high,35.3
44,20.0,25,50,50,0,28,high,37.7
45,20.0,15,10,50,0,28,jam,36.5
46,20.0,15,25,50,0,28,jam,39.8
47,20.0,15,40,50,0,28,jam,43.2
48,20.0,15,50,50,0,28,jam,46.2
49,3.5,40,5,50,0,25,low,3.8
50,3.5,40,15,50,0,25,low,4.1
51,3.5,40,30,50,0,25,low,4.5
52,3.5,40,45,50,0,25,low,4.9
53,3.5,40,5,50,1,38,low,6.2
54,3.5,40,15,50,1,38,low,6.7
55,3.5,40,30,50,1,38,low,7.3
56,3.5,40,45,50,1,38,low,7.9
57,7.0,30,20,50,0,30,normal,9.1
58,7.0,30,35,50,0,30,normal,9.9
59,7.0,30,50,50,0,30,normal,10.7
60,7.0,30,20,50,1,35,normal,13.2
61,7.0,30,35,50,1,35,normal,14.2
62,7.0,30,50,50,1,35,normal,15.3
63,7.0,20,20,50,0,30,high,11.2
64,7.0,20,35,50,0,30,high,12.2
65,7.0,20,50,50,0,30,high,13.1
66,7.0,10,20,50,0,30,jam,14.5
67,7.0,10,35,50,0,30,jam,15.8
68,7.0,10,50,50,0,30,jam,17.0
69,15.0,35,15,50,0,27,normal,18.9
70,15.0,35,30,50,0,27,normal,20.6
71,15.0,35,45,50,0,27,normal,22.3
72,15.0,35,15,50,1,33,normal,25.8
73,15.0,35,30,50,1,33,normal,27.8
74,15.0,35,45,50,1,33,normal,29.9
75,15.0,25,15,50,0,27,high,23.0
76,15.0,25,30,50,0,27,high,25.1
77,15.0,25,45,50,0,27,high,27.1
78,15.0,15,15,50,0,27,jam,28.2
79,15.0,15,30,50,0,27,jam,30.8
80,15.0,15,45,50,0,27,jam,33.3
81,5.0,35,10,50,1,40,high,10.8
82,5.0,35,25,50,1,40,high,11.7
83,5.0,35,40,50,1,40,high,12.6
84,5.0,35,50,50,1,40,jam,14.2
85,10.0,30,30,50,1,38,high,22.5
86,10.0,30,40,50,1,38,high,23.8
87,10.0,20,30,50,1,38,jam,26.4
88,10.0,20,40,50,1,38,jam,28.0
89,20.0,30,20,50,1,36,high,42.3
90,20.0,30,35,50,1,36,high,45.1
91,20.0,20,20,50,1,36,jam,51.8
92,20.0,20,35,50,1,36,jam,55.2
93,2.0,40,5,50,0,26,low,2.2
94,2.0,40,20,50,0,26,low,2.5
95,2.0,40,40,50,0,26,low,2.8
96,2.0,40,5,50,1,30,low,3.5
97,2.0,40,20,50,1,30,low,3.9
98,2.0,40,40,50,1,30,low,4.3
99,8.0,35,25,50,0,29,normal,10.3
100,8.0,35,40,50,1,35,high,16.8
101,15.0,25,40,50,0,29,low,19.1
102,5.0,30,20,50,0,32,jam,9.1
103,10.0,30,10,50,1,36,jam,17.6
104,8.0,10,50,50,1,37,normal,12.1
105,2.0,10,50,50,1,36,jam,3.9
106,15.0,35,15,50,1,31,jam,25.0
107,20.0,10,15,50,0,27,low,24.3
108,8.0,15,20,50,1,39,jam,15.6
109,15.0,25,40,50,1,27,high,23.8
110,7.0,15,30,50,1,34,normal,10.0
111,10.0,30,10,50,1,36,normal,14.1
112,15.0,40,40,50,1,31,normal,21.8
113,2.0,35,40,50,0,40,low,2.7
114,3.5,10,45,50,0,39,low,4.6
115,2.0,10,35,50,0,32,low,2.7
116,5.0,20,5,50,1,29,high,8.0
117,15.0,15,45,50,0,31,jam,27.3
118,20.0,40,35,50,0,32,normal,30.0
119,5.0,25,40,50,0,35,normal,7.0
120,10.0,20,5,50,0,34,low,12.1
121,15.0,35,35,50,0,33,high,24.1
122,8.0,20,35,50,0,28,low,10.4
123,20.0,25,25,50,0,31,high,30.1
124,8.0,40,15,50,1,36,normal,11.1
125,3.5,30,45,50,1,30,low,4.6
126,10.0,35,50,50,0,36,high,17.2
127,15.0,35,5,50,0,33,low,19.2
128,2.0,20,35,50,0,32,normal,2.8
129,2.0,35,25,50,1,27,low,2.6
130,10.0,10,20,50,0,38,low,12.5
131,3.5,25,35,50,0,27,normal,4.9
132,20.0,10,5,50,1,38,high,31.5
133,8.0,25,50,50,1,30,jam,15.3
134,20.0,20,5,50,1,30,high,31.0
135,8.0,25,10,50,0,30,normal,11.0
136,2.0,25,30,50,0,37,jam,3.8
137,7.0,25,20,50,0,34,high,10.8
138,15.0,25,45,50,1,32,low,21.2
139,15.0,15,40,50,1,35,low,19.5
140,15.0,35,50,50,1,31,high,26.2
141,20.0,15,45,50,0,36,jam,38.2
142,7.0,30,25,50,0,35,jam,12.8
143,2.0,10,15,50,1,40,high,3.3
144,5.0,10,40,50,1,30,jam,10.3
145,7.0,35,15,50,0,38,jam,12.7
146,10.0,20,45,50,1,25,jam,18.6
147,2.0,35,25,50,1,28,jam,3.9
148,2.0,10,15,50,1,31,normal,2.9
149,10.0,35,30,50,0,37,normal,14.3
150,3.5,30,5,50,1,39,jam,6.5
151,2.0,30,15,50,1,27,jam,3.5
152,7.0,35,25,50,1,27,normal,10.1
153,2.0,30,40,50,1,25,low,2.6
154,8.0,40,5,50,1,27,jam,14.6
155,3.5,10,50,50,1,30,high,6.2
156,15.0,15,50,50,0,34,normal,21.3
157,20.0,10,45,50,1,30,high,31.7
158,3.5,20,10,50,0,32,low,4.4
159,7.0,15,35,50,0,28,low,8.9
160,5.0,40,10,50,0,40,normal,6.7
161,15.0,35,15,50,0,34,low,18.4
162,3.5,35,30,50,0,36,high,5.8
163,2.0,30,25,50,1,28,high,3.2
164,15.0,20,35,50,1,28,jam,28.0
165,8.0,15,50,50,0,27,normal,11.3
166,3.5,40,50,50,0,34,low,4.3
167,10.0,40,45,50,0,29,jam,19.1
168,3.5,35,30,50,1,33,jam,6.5
169,8.0,30,5,50,0,37,jam,13.6
170,8.0,40,15,50,1,34,jam,15.7
171,5.0,30,30,50,1,37,low,6.7
172,7.0,10,25,50,1,34,high,11.8
173,10.0,30,20,50,0,28,normal,15.6
174,8.0,25,40,50,1,31,jam,15.6
175,2.0,25,20,50,1,36,jam,3.6
176,8.0,20,25,50,0,27,jam,14.9
177,2.0,15,10,50,1,27,low,2.5
178,20.0,30,50,50,1,34,normal,30.3
179,3.5,20,45,50,1,28,high,6.1
180,8.0,25,45,50,0,37,low,11.3
181,7.0,15,25,50,1,32,low,9.7
182,7.0,15,5,50,1,40,high,11.2
183,15.0,35,25,50,0,25,jam,28.6
184,2.0,35,5,50,1,38,low,2.5
185,20.0,10,30,50,0,35,low,26.1
186,20.0,25,15,50,1,39,normal,27.7
187,8.0,30,15,50,1,33,jam,15.3
188,15.0,10,35,50,1,29,low,20.7
189,3.5,40,50,50,0,27,low,5.1
190,15.0,25,45,50,1,34,normal,22.7
191,2.0,30,30,50,0,38,high,3.2
192,5.0,15,10,50,0,37,low,5.8
193,10.0,20,40,50,0,37,jam,18.9
194,15.0,10,20,50,1,30,jam,28.6
195,15.0,20,30,50,1,35,high,24.3
196,7.0,35,50,50,1,36,jam,13.8
197,8.0,40,45,50,0,25,high,13.6
198,15.0,25,5,50,0,32,low,18.3
199,10.0,30,30,50,0,36,normal,14.2
200,5.0,25,25,50,0,27,jam,9.6
201,7.0,10,10,50,0,33,high,10.6
202,8.0,35,30,50,0,40,high,13.9
203,2.0,20,50,50,1,40,jam,3.8
